TC ID,Module,Page/Feature,Description,Test Type,Group,Status
TC003_014_login_role_selector_tabs,Authentication,Login,Role selector tabs switch form + only one tab active,UI,regression,To Be Added
TC005_005d_forgot_password_flow,Authentication,Login,"Forgot Password link, reset form, empty email rejected, valid email shows confirmation",UI,regression,To Be Added
home_url_loads_and_hero_visible,Landing,Home,Landing page loads MediConnect site + hero h1 heading visible,UI,"sanity, regression",To Be Added
home_shows_all_ctas,Landing,Home,"All CTAs visible: header (Admin Portal, Get Started), hero, and CTA section buttons",UI,regression,To Be Added
home_get_started_routes_to_login,Landing,Home,Header and Hero Get Started buttons both route to /login,UI,regression,To Be Added
home_admin_portal_routes_to_admin_login,Landing,Home,Header and Hero Admin Portal buttons both route to /admin/login,UI,regression,To Be Added
TC017_019_admin_login_ui_and_password_masking,Admin,AdminLogin,Page UI elements visible + password field masked by default + visibility toggle works,UI,regression,To Be Added
TC020_021_admin_login_empty_and_invalid_format,Admin,AdminLogin,Empty fields show error + invalid email format rejected,UI,regression,To Be Added
TC022_024_admin_login_wrong_credentials,Admin,AdminLogin,Wrong email + wrong password + both wrong credentials show error,UI,regression,To Be Added
TC025_026_admin_login_back_home_and_register_links,Admin,AdminLogin,Back to Home link navigates home + Create admin account link navigates to register,UI,regression,To Be Added
admin_register_page_loads_and_back_link,Admin,AdminRegister,Admin register page loads + Back-to-login link visible,UI,regression,To Be Added
admin_register_form_fields_and_submit,Admin,AdminRegister,Register form has basic fields + submit button,UI,regression,To Be Added
TC054_055_admin_patient_management_ui_and_tiles,Admin,AdminPatients,Patient Management header visible + Management UI + summary tile labels visible,UI,"sanity, regression",To Be Added
TC056_060_admin_patient_tile_values,Admin,AdminPatients,Tile values non-empty + Total Patients/Inpatients/Outpatients Today/Critical Cases tiles render,UI,regression,To Be Added
TC061_066_admin_patient_table_and_pagination,Admin,AdminPatients,Tabs visible (Inpatients/Outpatients) + Patient List card title + table columns + rows + pagination label + search input,UI,regression,To Be Added
TC051_OV01_OV02_admin_overview_ui_and_filters,Admin,AdminOverview,System Overview page UI + page title/subtitle + Period and Hospital filter chips,UI,"sanity, regression",To Be Added
TC052_OV03_OV05_admin_overview_stat_tiles,Admin,AdminOverview,Filters (Period + All Hospitals) + all stat tile labels + tile values non-empty + tile sub-labels,UI,regression,To Be Added
TC_OV06_OV09_admin_overview_charts,Admin,AdminOverview,"Appointment Inflow + Disease Distribution + Bed Occupancy + Revenue Trend charts all render",UI,regression,To Be Added
TC084_OV10_OV11_admin_overview_map_and_ai_insights,Admin,AdminOverview,Hospital Branch Map visible + AI System Insights panel visible,UI,regression,To Be Added
TC_OV12_OV15_admin_overview_notifications_and_profile,Admin,AdminOverview,Notification panel + notification item content + admin profile info + logout button visible,UI,regression,To Be Added
TC062_063_admin_analytics_ui_and_filters,Admin,AdminAnalytics,Analytics page header + tiles + filter dropdowns visible,UI,regression,To Be Added
TC064_065_admin_analytics_charts,Admin,AdminAnalytics,Appointment Flow Heatmap + secondary charts render,UI,regression,To Be Added
TC066_068_admin_analytics_dropdown_options,Admin,AdminAnalytics,Period + Departments + Hospitals dropdown options validated,UI,regression,To Be Added
TC069_071_admin_analytics_filter_refresh,Admin,AdminAnalytics,Changing Period/Department/Hospital filter refreshes dashboard,UI,regression,To Be Added
Admin_AppointmentsValidation,Admin,AdminAppointments,Filter table + Recent Appointments + All Appointments table all available,UI,regression,To Be Added
TC057_057a_057b_admin_diagnostics_tabs_and_tiles,Admin,AdminDiagnostics,"Diagnostics tabs visible (Lab Reports/Radiology/Imaging) + tab switching works + 4 summary tiles (Total Reports/Pending Review/Abnormal Flags/Imaging Requests)",UI,regression,To Be Added
TC057c_057d_admin_diagnostics_filters_and_search,Admin,AdminDiagnostics,Lab Reports filters (search input + status dropdown) + table columns + search filter behavior,UI,regression,To Be Added
TC057e_057f_057g_admin_diagnostics_actions_badges_ai,Admin,AdminDiagnostics,Per-row action buttons (View/AI Explain/Upload Result) + status badges (Ready/Abnormal/Pending) + AI Report Summary panel,UI,regression,To Be Added
TC058_058a_058c_admin_supply_chain_ui_and_header_buttons,Admin,AdminSupplyChain,"Supply Chain page UI + header action buttons + New Order modal opens + Export CSV clickable",UI,regression,To Be Added
TC058d_058f_admin_supply_chain_charts_and_ai,Admin,AdminSupplyChain,Drug Usage Trend chart + Stock Consumption donut chart + AI Supply Insights block,UI,regression,To Be Added
TC059_059a_admin_supply_chain_inventory_heading,Admin,AdminSupplyChain,Inventory table visible + inventory heading and item count,UI,regression,To Be Added
TC059b_059f_admin_supply_chain_inventory_filters_search_badges,Admin,AdminSupplyChain,"Inventory filters (Low Stock/Expiring/All) + search filter + status badges present",UI,regression,To Be Added
TC053_077_admin_hospitals_ui_and_occupancy,Admin,AdminHospitals,Hospitals page UI + occupancy colour coding,UI,regression,To Be Added
TC087_089_admin_add_hospital_modal_and_submit,Admin,AdminHospitals,Add Hospital button opens modal + submit creates new row,UI,regression,To Be Added
TC088_091_admin_hospitals_row_data_and_details,Admin,AdminHospitals,Every hospital row has non-empty name + Details button reveals expanded view,UI,regression,To Be Added
TC090_092_admin_hospitals_edit_modal_and_save,Admin,AdminHospitals,Edit button opens prefilled modal + Save Changes persists update,UI,regression,To Be Added
TC093_094_095_admin_telemedicine_ui_and_sections,Admin,AdminTelemedicine,Telemedicine header + 4 summary tiles + Doctor Availability/Today's Video Appointments/Session Records sections,UI,regression,To Be Added
TC097_098_admin_telemedicine_schedule_modal,Admin,AdminTelemedicine,Schedule Session button opens modal + modal has all expected fields (Doctor/Patient/Date/Time/Type/Notes),UI,regression,To Be Added
TC060_063_admin_revenue_ui_and_tile_labels,Admin,AdminRevenueBilling,Revenue & Billing page UI + summary tile labels + tile values numeric + tile sub-labels,UI,regression,To Be Added
TC064_067_admin_revenue_individual_tiles,Admin,AdminRevenueBilling,Total Appointments + Confirmed + Pending + Cancelled tiles all render,UI,regression,To Be Added
TC068_070_admin_revenue_charts_and_ai,Admin,AdminRevenueBilling,Appointments Over Time chart + Appointment Breakdown chart + AI Appointment Insights section,UI,regression,To Be Added
TC071_072_admin_revenue_recent_bills_table,Admin,AdminRevenueBilling,Recent Bills heading visible + Recent Bills table has expected columns,UI,regression,To Be Added
